set,heap,type
experiment,24249984,after
experiment,28024920,before
experiment,26264848,after
experiment,28860144,before
experiment,27515256,after
experiment,34948840,before
experiment,30169160,after
experiment,36560776,before
experiment,31120328,after
experiment,32053576,before
experiment,32053576,after
experiment,32252936,before
experiment,32252936,after
experiment,32397848,before
experiment,32397848,after
experiment,32401336,before
experiment,27584160,after
experiment,46344520,before
experiment,33156128,after
experiment,36880840,before
experiment,36880840,after
experiment,4356312,before
experiment,3817520,after
experiment,5020776,before
experiment,4716368,after
experiment,6768424,before
experiment,6351312,after
experiment,10602272,before
experiment,9690160,after
experiment,12248472,before
experiment,11588848,after
experiment,12025448,before
experiment,12025448,after
experiment,12025448,before
experiment,12025448,after
experiment,12025448,before
experiment,12025448,after
experiment,12025448,before
experiment,12025448,after
experiment,14329760,before
experiment,13265816,after
experiment,19192336,before
experiment,19192336,after
experiment,27266920,before
experiment,24310808,after
experiment,27974416,before
experiment,26211272,after
experiment,28805552,before
experiment,27461016,after
experiment,34897608,before
experiment,30116768,after
experiment,36520768,before
experiment,31075776,after
experiment,32730184,before
experiment,32730184,after
experiment,32952968,before
experiment,32952968,after
experiment,33020512,before
experiment,33020512,after
experiment,33063968,before
experiment,27738768,after
experiment,46300008,before
experiment,33230608,after
experiment,35927712,before
experiment,35927712,after
experiment,4356312,before
experiment,3817520,after
experiment,5020744,before
experiment,4716336,after
experiment,6768440,before
experiment,6351320,after
experiment,10601992,before
experiment,9690056,after
experiment,12239472,before
experiment,11579768,after
experiment,12022480,before
experiment,12022480,after
experiment,12022480,before
experiment,12022480,after
experiment,12022480,before
experiment,12022480,after
experiment,12022480,before
experiment,12022480,after
experiment,14358232,before
experiment,13292936,after
experiment,19159024,before
experiment,19159024,after
experiment,27255256,before
experiment,24318968,after
experiment,28110928,before
experiment,26345000,after
experiment,28963792,before
experiment,27606776,after
experiment,35044248,before
experiment,30271216,after
experiment,36668280,before
experiment,31220832,after
experiment,31779632,before
experiment,31779632,after
experiment,31932448,before
experiment,31932448,after
experiment,32027488,before
experiment,27512304,after
experiment,46253416,before
experiment,33020080,after
experiment,37202984,before
experiment,37202984,after
experiment,4356312,before
experiment,3817520,after
experiment,5020864,before
experiment,4716456,after
experiment,6768528,before
experiment,6351408,after
experiment,10602368,before
experiment,9690256,after
experiment,12252728,before
experiment,11593024,after
experiment,12035120,before
experiment,12035120,after
experiment,12035120,before
experiment,12035120,after
experiment,12035120,before
experiment,12035120,after
experiment,12035120,before
experiment,12035120,after
experiment,14336440,before
experiment,13272056,after
experiment,19178264,before
experiment,19178264,after
experiment,27243064,before
experiment,24280168,after
experiment,28097120,before
experiment,26322592,after
experiment,28922224,before
experiment,27575232,after
experiment,35010936,before
experiment,30244584,after
experiment,36624520,before
experiment,31192856,after
experiment,31620544,before
experiment,31620544,after
experiment,31848120,before
experiment,31848120,after
experiment,31917264,before
experiment,27427696,after
experiment,46066648,before
experiment,32822288,after
experiment,37062064,before
experiment,37062064,after
experiment,4356312,before
experiment,3817520,after
experiment,5020776,before
experiment,4716368,after
experiment,6768456,before
experiment,6351344,after
experiment,10602192,before
experiment,9690240,after
experiment,12245424,before
experiment,11585704,after
experiment,12025848,before
experiment,12025848,after
experiment,12025848,before
experiment,12025848,after
experiment,12025848,before
experiment,12025848,after
experiment,12025848,before
experiment,12025848,after
experiment,14334560,before
experiment,13270264,after
experiment,19197184,before
experiment,19197184,after
experiment,27271680,before
experiment,24315824,after
experiment,28126504,before
experiment,26358528,after
experiment,28958272,before
experiment,27611216,after
experiment,35050944,before
experiment,30276752,after
experiment,36669888,before
experiment,31235688,after
experiment,32987344,before
experiment,32987344,after
experiment,33146480,before
experiment,33146480,after
experiment,33214600,before
experiment,33214600,after
experiment,33280400,before
experiment,27917192,after
experiment,46765096,before
experiment,33680424,after
experiment,36543464,before
experiment,36543464,after
experiment,4356312,before
experiment,3817520,after
experiment,5020776,before
experiment,4716368,after
experiment,6768440,before
experiment,6351320,after
experiment,10602176,before
experiment,9690056,after
experiment,12252496,before
experiment,11592792,after
experiment,12034920,before
experiment,12034920,after
experiment,12034920,before
experiment,12034920,after
experiment,12034920,before
experiment,12034920,after
experiment,12034920,before
experiment,12034920,after
experiment,14336264,before
experiment,13271968,after
experiment,19040576,before
experiment,19040576,after
experiment,27107432,before
experiment,24143568,after
experiment,27968064,before
experiment,26196384,after
experiment,28791824,before
experiment,27446792,after
experiment,34885464,before
experiment,30122000,after
experiment,31759008,before
experiment,31759008,after
experiment,31890248,before
experiment,31890248,after
experiment,31955808,before
experiment,26122920,after
experiment,35407040,before
experiment,28646904,after
experiment,47753752,before
experiment,47753752,after
experiment,47753752,before
experiment,47753752,after
experiment,4356312,before
experiment,3817520,after
experiment,5020744,before
experiment,4716336,after
experiment,6768408,before
experiment,6351288,after
experiment,10602272,before
experiment,9690168,after
experiment,12245624,before
experiment,11585928,after
experiment,12026360,before
experiment,12026360,after
experiment,12026360,before
experiment,12026360,after
experiment,12026360,before
experiment,12026360,after
experiment,12026360,before
experiment,12026360,after
experiment,14330560,before
experiment,13266736,after
experiment,19094968,before
experiment,19094968,after
experiment,27180728,before
experiment,24236024,after
experiment,28063416,before
experiment,26293944,after
experiment,28906752,before
experiment,27553536,after
experiment,34974600,before
experiment,30206448,after
experiment,36562048,before
experiment,31117304,after
experiment,33066616,before
experiment,33066616,after
experiment,33242552,before
experiment,33242552,after
experiment,33307968,before
experiment,33307968,after
experiment,33373552,before
experiment,27871400,after
experiment,46571840,before
experiment,33525984,after
experiment,36141496,before
experiment,36141496,after
experiment,4356312,before
experiment,3817520,after
experiment,5020776,before
experiment,4716368,after
experiment,6768456,before
experiment,6351344,after
experiment,10602176,before
experiment,9690216,after
experiment,12249560,before
experiment,11588144,after
experiment,12024160,before
experiment,12024160,after
experiment,12024160,before
experiment,12024160,after
experiment,12024160,before
experiment,12024160,after
experiment,12024160,before
experiment,12024160,after
experiment,14345128,before
experiment,13279928,after
experiment,19185424,before
experiment,19185424,after
experiment,27261888,before
experiment,24304584,after
experiment,28069120,before
experiment,26304480,after
experiment,28899856,before
experiment,27554928,after
experiment,35004048,before
experiment,30225720,after
experiment,36612208,before
experiment,31173064,after
experiment,33185016,before
experiment,33185016,after
experiment,33359640,before
experiment,33359640,after
experiment,33425152,before
experiment,27795952,after
experiment,46656480,before
experiment,33653080,after
experiment,36029568,before
experiment,36029568,after
experiment,4356312,before
experiment,3817520,after
experiment,5020784,before
experiment,4716368,after
experiment,6768424,before
experiment,6351312,after
experiment,10602176,before
experiment,9690232,after
experiment,12245416,before
experiment,11585696,after
experiment,12025840,before
experiment,12025840,after
experiment,12025840,before
experiment,12025840,after
experiment,12025840,before
experiment,12025840,after
experiment,12025840,before
experiment,12025840,after
experiment,14335656,before
experiment,13271528,after
experiment,19140240,before
experiment,19140240,after
experiment,27214768,before
experiment,24259280,after
experiment,28082616,before
experiment,26314448,after
experiment,28914624,before
experiment,27567368,after
experiment,35000392,before
experiment,30225680,after
experiment,36616288,before
experiment,31177480,after
experiment,32811304,before
experiment,32811304,after
experiment,32970312,before
experiment,32970312,after
experiment,33062176,before
experiment,33062176,after
experiment,33127872,before
experiment,27843656,after
experiment,46556336,before
experiment,33457920,after
experiment,36306648,before
experiment,36306648,after
experiment,4356312,before
experiment,3817520,after
experiment,5020896,before
experiment,4716488,after
experiment,6768512,before
experiment,6351400,after
experiment,10602728,before
experiment,9690784,after
experiment,12245512,before
experiment,11586680,after
experiment,12029648,before
experiment,12029648,after
experiment,12029648,before
experiment,12029648,after
experiment,12029648,before
experiment,12029648,after
experiment,12029648,before
experiment,12029648,after
experiment,14330704,before
experiment,13266592,after
experiment,19092072,before
experiment,19092072,after
experiment,27184048,before
experiment,24243952,after
experiment,27992832,before
experiment,26230512,after
experiment,28840512,before
experiment,27487680,after
experiment,34925728,before
experiment,30146512,after
experiment,36512640,before
experiment,31065064,after
experiment,32859232,before
experiment,32859232,after
experiment,33067448,before
experiment,33067448,after
experiment,33133016,before
experiment,27795472,after
experiment,46679272,before
experiment,33589248,after
experiment,36362544,before
experiment,36362544,after
experiment,4356312,before
experiment,3817520,after
experiment,5020864,before
experiment,4716456,after
experiment,6768512,before
experiment,6351400,after
experiment,10602256,before
experiment,9690136,after
experiment,12252448,before
experiment,11592744,after
experiment,12034968,before
experiment,12034968,after
experiment,12034968,before
experiment,12034968,after
experiment,12034968,before
experiment,12034968,after
experiment,12034968,before
experiment,12034968,after
experiment,14336328,before
experiment,13272040,after
experiment,19159840,before
experiment,19159840,after
experiment,27234304,before
experiment,24278944,after
experiment,28053376,before
experiment,26290576,after
experiment,28885848,before
experiment,27541336,after
experiment,34982752,before
experiment,30204120,after
experiment,36594000,before
experiment,31152896,after
experiment,32185000,before
experiment,32185000,after
experiment,32408928,before
experiment,32408928,after
experiment,32508432,before
experiment,32508432,after
experiment,32593168,before
experiment,27692792,after
experiment,46479704,before
experiment,33306416,after
experiment,36755832,before
experiment,36755832,after
experiment,4356312,before
experiment,3817520,after
experiment,5020864,before
experiment,4716456,after
experiment,6768528,before
experiment,6351408,after
experiment,10602376,before
experiment,9690248,after
experiment,12245136,before
experiment,11585528,after
experiment,12025608,before
experiment,12025608,after
experiment,12025608,before
experiment,12025608,after
experiment,12025608,before
experiment,12025608,after
experiment,12025608,before
experiment,12025608,after
experiment,14330040,before
experiment,13265768,after
experiment,19155040,before
experiment,19155040,after
experiment,27229504,before
experiment,24273688,after
experiment,28027912,before
experiment,26276144,after
